id,name,switch_to_order_menu,average_cost_for_two,price_range,currency,aggregate_rating,votes,rating_id,services_id
154,Subway,0,500,2,Rs.,3.7,188,243,360
309576,Azam's Mughlai,0,600,2,Rs.,3.9,157,243,351
301422,Larry's China - Taj Vivanta,0,3200,4,Rs.,3.7,147,243,392
303574,Omazoni,0,650,2,Rs.,2.5,120,975,360
4624,Sugar & Spice - Le Marche,0,800,2,Rs.,3.3,89,975,351
6271,Laziz Kabab (Subhash Restaurant),0,400,1,Rs.,3.7,79,243,351
18361747,t Lounge by Dilmah,0,800,2,Rs.,3.6,34,243,351
18400736,Owl is Well,0,1000,3,Rs.,4.5,162,275,382
18400736,Owl is Well,0,1000,3,Rs.,4.5,162,275,360
4450,Jughead's Fast Food Corner,0,500,2,Rs.,3.6,438,243,360
4251,Cafe 6,0,500,2,Rs.,3.9,406,243,360
3400,Gung The Palace,0,2500,4,Rs.,3.7,303,243,392
954,Karnataka,0,500,2,Rs.,3.7,334,243,360
307391,Sugarama Patisserie,0,500,2,Rs.,4.2,292,932,360
303716,Pink Box,0,300,1,Rs.,3.8,243,243,360
5565,Mithapur,0,450,1,Rs.,3.4,280,975,351
2899,Karim's,0,750,2,Rs.,3.3,235,975,320
18356840,Lets Bake Love,0,600,2,Rs.,3.0,4,975,351
303784,Mahadev Dhaba,0,100,1,Rs.,2.6,10,975,360
9875,Bhagwan Sweets,0,250,1,Rs.,2.8,8,975,351
18446391,Intermission,0,200,1,Rs.,0.0,3,916,360
313491,Arabian Knites,0,500,2,Rs.,3.0,7,975,351
