id,address,locality,city,latitude,longitude,zipcode,country_id,locality_verbose,city_id
18237324,"U-9/26, DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.4937283,77.0938134,,1,"DLF Phase 3, Gurgaon",1
18233576,"U-8/36, DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.4931115,77.0940363,,1,"DLF Phase 3, Gurgaon",1
18256890,"S 31A/1, Near St. Stephen's Hospital, DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.4933087195,77.0938050002,,1,"DLF Phase 3, Gurgaon",1
18258477,"U-9/1, DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.4930484,77.0946676,,1,"DLF Phase 3, Gurgaon",1
302229,"U-5/50, Road 16, DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.4921002,77.0941281,,1,"DLF Phase 3, Gurgaon",1
309697,"S-27/9 H, DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.487654,77.1038389,,1,"DLF Phase 3, Gurgaon",1
611,"IBP Petrol Pump, Nathupur, DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.4903496513,77.091585137,0,1,"DLF Phase 3, Gurgaon",1
310525,"Shop 4, U-6/50, DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.4923373,77.094263,,1,"DLF Phase 3, Gurgaon",1
302184,"U-21/1, Road 15, Near Mother Dairy, DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.4949836,77.0952332,,1,"DLF Phase 3, Gurgaon",1
2827,"U-54/21, DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.4897671,77.0951644,0,1,"DLF Phase 3, Gurgaon",1
308044,"S-27/9, The Village Super Mart, Opposite Pullman Hotel, DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.4874309,77.1047829,,1,"DLF Phase 3, Gurgaon",1
6915,"75, Behind RBS, DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.4900962,77.094263,0,1,"DLF Phase 3, Gurgaon",1
18444353,"U 44/31-1, DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.4923373,77.094263,122003,1,"DLF Phase 3, Gurgaon",1
18322677,"Shop 12 & 13, U-25/31A, Pink Town House Road, Opposite Shemrock School, DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.4947415,77.0998522,,1,"DLF Phase 3, Gurgaon",1
18444416,"67/53/54, DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.4882651115,77.0953090489,,1,"DLF Phase 3, Gurgaon",1
311718,"SF-12, 1st Floor, DLF Galleria Market, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4",Gurgaon,28.4674317,77.0823032,,1,"DLF Galleria, DLF Phase 4, Gurgaon",1
18322666,"SF-85, Galleria Market, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4",Gurgaon,28.4674868,77.0819435,122002,1,"DLF Galleria, DLF Phase 4, Gurgaon",1
310211,"SF-44, 1st Floor, DLF Galleria Market, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4",Gurgaon,28.4670558,77.0821234,122002,1,"DLF Galleria, DLF Phase 4, Gurgaon",1
18224536,"A-204, A-205, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",Gurgaon,28.4623802,77.0871142,,1,"Supermart 1, DLF Phase 4, Gurgaon",1
18382344,"2nd Floor, Cross Point Mall, DLF Phase 4, Gurgaon","Cross Point Mall, DLF Phase 4",Gurgaon,28.4681975,77.0837421,,1,"Cross Point Mall, DLF Phase 4, Gurgaon",1
18420450,"A-137, Lower Ground Floor, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",Gurgaon,28.4626811,77.0869794,,1,"Supermart 1, DLF Phase 4, Gurgaon",1
7418,"22, DLF Galleria, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4",Gurgaon,28.4671309,77.0824381,0,1,"DLF Galleria, DLF Phase 4, Gurgaon",1
18070480,"Opposite DLF Galleria Market, DLF Phase 4, Gurgaon",DLF Phase 4,Gurgaon,28.4697812172,77.0859873667,,1,"DLF Phase 4, Gurgaon",1
18365994,"A 226 & 227, Ground Floor, Super Mart 1, DLF Phase 4, Gurgaon",DLF Phase 4,Gurgaon,28.4626173,77.0872491,,1,"DLF Phase 4, Gurgaon",1
305776,"B-134/135, Lower Ground Floor, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",Gurgaon,28.4622932,77.0876088,,1,"Supermart 1, DLF Phase 4, Gurgaon",1
18355106,"A - 133, Ground Floor, Super Mart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",Gurgaon,28.4625024,77.0868749,,1,"Supermart 1, DLF Phase 4, Gurgaon",1
1216,"A-112 & 114, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",Gurgaon,28.4625277,77.0872491,0,1,"Supermart 1, DLF Phase 4, Gurgaon",1
18372668,"A 224, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",Gurgaon,28.4626087,77.0871592,122002,1,"Supermart 1, DLF Phase 4, Gurgaon",1
303100,"E-21, Supermart 2, DLF Phase 4, Gurgaon",DLF Phase 4,Gurgaon,28.4617002,77.0879685,,1,"DLF Phase 4, Gurgaon",1
18025098,"B-210, DLF Super Mart 1, DLF Phase 4, Gurgaon",DLF Phase 4,Gurgaon,28.4623501,77.087295,,1,"DLF Phase 4, Gurgaon",1
7078,"Near IFFCO Chowk Metro Station, Opposite Metro Pillar 141, DLF Phase 4, Gurgaon",DLF Phase 4,Gurgaon,28.4739245,77.0715115,,1,"DLF Phase 4, Gurgaon",1
18425140,"DLF Phase 4, Gurgaon",DLF Phase 4,Gurgaon,28.4662479261,77.0830151439,,1,"DLF Phase 4, Gurgaon",1
308889,"SF-35, 1st Floor, DLF Galleria Market, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4",Gurgaon,28.4671282,77.0819435,,1,"DLF Galleria, DLF Phase 4, Gurgaon",1
18339049,"DLF Phase 4, Gurgaon",DLF Phase 4,Gurgaon,28.4699579,77.0859584,,1,"DLF Phase 4, Gurgaon",1
18403465,"B-215, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",Gurgaon,28.4624928,77.0874235,,1,"Supermart 1, DLF Phase 4, Gurgaon",1
18261725,"Sushant Lok, Gurgaon",Sushant Lok,Gurgaon,28.4592935,77.0847227,,1,"Sushant Lok, Gurgaon",1
18408212,"Shop 22, MGF Metropolitan Mall, MG Road, Gurgaon","MGF Metropolitan Mall, MG Road",Gurgaon,28.481108,77.0802574,,1,"MGF Metropolitan Mall, MG Road, Gurgaon",1
429,"SCO 20, Housing Board Shopping Complex, Saraswati Vihar, Near Union Bank, MG Road, Gurgaon",MG Road,Gurgaon,28.4757777,77.0823932,,1,"MG Road, Gurgaon",1
